ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
6670	"ENSG00000147403.12"	"RPL10"	chrX	+	153628804	153628967	153628815	153628967	153628143	153628282	6670	5109,5611	215,35	4986,3500	43,35	109	99	2.46535746817e-07	0.00247028818311	0.956,0.993	0.991,0.989	-0.016
6803	"ENSG00000130731.11"	"C16orf13"	chr16	-	684948	685012	684948	684956	685280	685340	6803	4,8	79,85	25,17	62,44	154	99	1.2226706112e-06	0.00612557976211	0.032,0.057	0.206,0.199	-0.158
16810	"ENSG00000109255.7"	"NMU"	chr4	-	56471441	56471680	56471441	56471516	56473464	56473494	16810	24,12	725,55	7,9	422,615	197	99	0.000276387221889	0.923133321109	0.016,0.099	0.008,0.007	0.05
10000	"ENSG00000145592.9"	"RPL37"	chr5	-	40827804	40828053	40827804	40828050	40832543	40832657	10000	120,146	2,0	200,119	1,0	101	99	0.592738176602	1.0	0.983,1.0	0.995,1.0	-0.006
10003	"ENSG00000124541.6"	"RRP36"	chr6	+	42994915	42994990	42994930	42994990	42993774	42993879	10003	121,157	0,0	135,132	1,1	113	99	0.633626739399	1.0	1.0,1.0	0.992,0.991	0.008
10007	"ENSG00000108599.10"	"AKAP10"	chr17	-	19866152	19866335	19866152	19866272	19871726	19871774	10007	4,58	1,0	11,14	0,0	161	99	1	1.0	0.711,1.0	1.0,1.0	-0.145
10008	"ENSG00000108599.10"	"AKAP10"	chr17	-	19866152	19866335	19866152	19866304	19871726	19871774	10008	26,28	4,2	26,16	3,1	129	99	0.791848587684	1.0	0.833,0.915	0.869,0.925	-0.023
10009	"ENSG00000108599.10"	"AKAP10"	chr17	-	19866152	19866335	19866152	19866279	19871726	19871774	10009	40,38	2,0	31,18	0,0	154	99	0.628591427466	1.0	0.928,1.0	1.0,1.0	-0.036
1000	"ENSG00000089177.13"	"KIF16B"	chr20	-	16385457	16385546	16385457	16385523	16387018	16387101	1000	1,13	0,1	3,5	0,0	121	99	1	1.0	1.0,0.914	1.0,1.0	-0.043
10010	"ENSG00000108599.10"	"AKAP10"	chr17	-	19866152	19866304	19866152	19866272	19871726	19871774	10010	1,20	1,0	3,4	0,0	130	99	1	1.0	0.432,1.0	1.0,1.0	-0.284
10011	"ENSG00000108599.10"	"AKAP10"	chr17	-	19866152	19866279	19866152	19866272	19871726	19871774	10011	0,2	1,0	1,1	0,0	105	99	0.0827181510308	1.0	0.0,1.0	1.0,1.0	-0.5
10012	"ENSG00000108599.10"	"AKAP10"	chr17	-	19866152	19866304	19866152	19866279	19871726	19871774	10012	13,11	2,0	8,4	0,0	123	99	1	1.0	0.84,1.0	1.0,1.0	-0.08
10014	"ENSG00000174748.14"	"RPL15"	chr3	+	23959327	23959538	23959437	23959538	23958621	23958730	10014	0,4	0,4	1,1	2,1	197	99	1	1.0	NA,0.334	0.201,0.334	0.067
10015	"ENSG00000174748.14"	"RPL15"	chr3	+	23959327	23959522	23959340	23959522	23958621	23958730	10015	0,4	470,287	1,1	320,241	111	99	0.943642391057	1.0	0.0,0.012	0.003,0.004	0.003
10016	"ENSG00000174748.14"	"RPL15"	chr3	+	23959340	23959522	23959437	23959522	23958621	23958730	10016	496,315	0,4	336,255	2,1	195	99	0.696572146747	1.0	1.0,0.976	0.988,0.992	-0.002
10017	"ENSG00000174748.14"	"RPL15"	chr3	+	23959327	23959538	23959437	23959538	23958638	23958664	10017	4,6	18,1	5,5	6,3	197	99	0.765190014022	1.0	0.1,0.751	0.295,0.456	0.05
10018	"ENSG00000109320.7"	"NFKB1"	chr4	+	103455001	103455042	103455004	103455042	103450992	103451071	10018	9,6	1,4	7,5	5,4	101	99	0.309211498212	1.0	0.898,0.595	0.578,0.551	0.182
1001	"ENSG00000164867.6"	"NOS3"	chr7	+	150710318	150710617	150710398	150710617	150709493	150709560	1001	67,71	1,0	25,25	0,0	178	99	1	1.0	0.974,1.0	1.0,1.0	-0.013
10020	"ENSG00000181433.5"	"SAGE1"	chrX	+	134990222	134990388	134990247	134990388	134989859	134990000	10020	0,1	20,48	0,0	10,13	123	99	1	1.0	0.0,0.016	0.0,0.0	0.008
10021	"ENSG00000181433.5"	"SAGE1"	chrX	+	134989859	134990000	134989946	134990000	134989471	134989612	10021	58,72	2,0	41,28	2,1	185	99	0.242197941847	1.0	0.939,1.0	0.916,0.937	0.043
10023	"ENSG00000089682.12"	"RBM41"	chrX	-	106312484	106312632	106312484	106312560	106331665	106332069	10023	28,122	0,0	52,53	1,0	170	99	0.402263540366	1.0	1.0,1.0	0.968,1.0	0.016
10024	"ENSG00000089682.12"	"RBM41"	chrX	-	106359091	106359284	106359091	106359267	106359380	106359474	10024	19,19	0,2	1,1	0,0	115	99	1	1.0	1.0,0.891	1.0,1.0	-0.054
10025	"ENSG00000089682.12"	"RBM41"	chrX	-	106312484	106313655	106312484	106312632	106331964	106332069	10025	5,1	6,3	5,3	6,6	197	99	0.896073538661	1.0	0.295,0.143	0.295,0.201	-0.029
10030	"ENSG00000119616.7"	"FCF1"	chr14	+	75182523	75182802	75182653	75182802	75181574	75181646	10030	6,4	89,61	3,1	63,49	197	99	0.490800831677	1.0	0.033,0.032	0.023,0.01	0.016
10031	"ENSG00000137876.5"	"RSL24D1"	chr15	-	55484917	55485031	55484917	55485023	55489007	55489265	10031	1207,388	1,0	716,723	0,0	106	99	1	1.0	0.999,1.0	1.0,1.0	-0.0
10032	"ENSG00000135632.7"	"SMYD5"	chr2	+	73447079	73447318	73447197	73447318	73445988	73446097	10032	1,1	14,3	4,2	9,6	197	99	0.262032286303	1.0	0.035,0.143	0.183,0.143	-0.074
10033	"ENSG00000135632.7"	"SMYD5"	chr2	+	73447178	73447318	73447197	73447318	73445988	73446097	10033	71,72	14,3	68,46	9,6	117	99	0.739314640759	1.0	0.811,0.953	0.865,0.866	0.017
10034	"ENSG00000135632.7"	"SMYD5"	chr2	+	73447079	73447318	73447178	73447318	73445988	73446097	10034	1,1	71,72	4,2	68,46	197	99	0.135890641015	1.0	0.007,0.007	0.029,0.021	-0.018
